bid_discount,count_linktot_in,count_linktot_out,auction_type,participated,logmiles_fiwo,logcapital,backlog_lagged,firm_type_unlim_liab,auction_id,labor,region,year
16.274,,,0,1,,,,,356545,,"PIEMONTE",2006
19.137,,,0,1,4.452986,,,,322936,,"EMILIA ROMAGNA",2006
18.353,,,0,1,,,0,,346886,,"VENETO",2006
12.535,,,0,1,4.452986,,0,0,347815,,"EMILIA ROMAGNA",2006
11.715,,,0,1,,,0,0,353303,,"VENETO",2006
5.277,,,0,1,,,,0,322199,,"VENETO",2006
11.624,,,0,1,,,,,362731,,"LOMBARDIA",2006
14.114,,,0,1,,,,,332977,,"PIEMONTE",2006
13.76,,,0,1,,,,,332977,,"PIEMONTE",2006
10.37,,,0,1,4.508461,,,,371924,,"EMILIA ROMAGNA",2007
18.812,,,0,1,,,,0,348950,,"PIEMONTE",2006
11.845,,,0,1,,,,0,336523,,"VENETO",2006
11.655,,,0,1,,,,0,336701,,"VENETO",2006
11.621,,,0,1,,,,0,336702,,"VENETO",2006
11.377,,,0,1,,,,0,336919,,"VENETO",2006
10.333,,,0,1,,,,0,336920,,"VENETO",2006
12.617,,,0,1,,,,0,337129,,"VENETO",2006
13.487,,,0,1,,,,,333495,,"PIEMONTE",2006
12.8,,,0,1,,,,0,310796,,"VENETO",2005
21.834,,,0,1,,,,0,370076,,"EMILIA ROMAGNA",2006
12.753,,,0,1,6.612453,,,,335798,,"LOMBARDIA",2006
15.139,,,0,1,4.292704,,,1,348805,,"VENETO",2006
5.5,,,0,1,2.36208,,,,372141,,"LOMBARDIA",2007
5.1,,,0,1,2.36208,,,,372142,,"LOMBARDIA",2007
13.76,,,0,1,,,,0,327432,,"VENETO",2006
8.01,,,0,1,,,,0,331048,,"VENETO",2006
9.11,,,0,1,3.336943,,,,322935,,"EMILIA ROMAGNA",2005
17.17,,,0,1,,,,0,337181,,"LOMBARDIA",2006
10.66,,,0,1,2.256017,,,,321427,,"LOMBARDIA",2006
8.262,,,0,1,2.647946,,,,329948,,"PIEMONTE",2005
16.71,,,0,1,3.408239,,,1,350685,,"LOMBARDIA",2006
17.71,,,0,1,3.101532,,,,357882,,"EMILIA ROMAGNA",2006
16.281,,,0,1,6.732718,,,,322936,,"EMILIA ROMAGNA",2006
6.67,,,0,1,5.901277,,,1,309532,,"EMILIA ROMAGNA",2005
6.019,,,0,1,5.890066,,0,1,315398,,"EMILIA ROMAGNA",2005
10.26,,,1,1,3.83971,,,,372138,,"LOMBARDIA",2007
21.882,,,1,1,3.78403,,0,,445511,,"PIEMONTE",2008
4.68,,,0,1,3.116843,,,,329603,,"EMILIA ROMAGNA",2005
13.4,,,0,1,,,,,364513,,"LOMBARDIA",2006
18.41,,,0,1,,,,0,322936,,"EMILIA ROMAGNA",2006
12.096,,,0,1,2.536471,,,,314139,,"VENETO",2005
13.02,,,0,1,4.485362,,,1,350628,,"LOMBARDIA",2006
8.16,,,0,1,,,,,330836,,"EMILIA ROMAGNA",2006
9.08,,,0,1,,,,,330837,,"EMILIA ROMAGNA",2006
13.82,,,0,1,2.671663,,,0,327626,,"PIEMONTE",2006
12.74,,,0,1,2.170196,,,,356443,,"LOMBARDIA",2006
16.51,,,0,1,6.891374,,,,333273,,"PIEMONTE",2006
8.66,,,0,1,,,,,368033,,"LIGURIA",2006
10,,,0,1,2.044591,,,,371594,,"LIGURIA",2007
11.04,,,0,1,,,,0,329072,,"LIGURIA",2006
12.243,,,0,1,,,,0,336523,,"VENETO",2006
11.835,,,0,1,,,,0,336701,,"VENETO",2006
11.886,,,0,1,,,,0,336702,,"VENETO",2006
11.453,,,0,1,,,,0,336919,,"VENETO",2006
15.01,,,1,1,2.608304,,,,331531,,"PIEMONTE",2006
11.549,,,0,1,0,,,,328207,,"EMILIA ROMAGNA",2006
15.98,,,0,1,3.269721,,,,372216,,"EMILIA ROMAGNA",2007
11.3,,,0,1,2.178608,,,,330988,,"LIGURIA",2006
12.78,,,0,1,5.115158,,,0,347129,,"LOMBARDIA",2006
12.815,,,0,1,4.125391,,0,0,354295,,"LOMBARDIA",2006
17.22,,,0,1,3.061239,,0,0,374207,,"LOMBARDIA",2007
7.09,,,0,1,,,,,354322,,"EMILIA ROMAGNA",2006
23.33,,,0,1,,,,,356056,,"PIEMONTE",2006
17.577,,,0,1,2.987952,,,0,351096,,"PIEMONTE",2006
9.681,,,0,1,3.896117,,,,343633,,"VENETO",2006
17.93,,,0,1,3.332847,,,0,374324,,"PIEMONTE",2007
12.28,,,0,1,2.93858,,,,348950,,"PIEMONTE",2006
7.97,,,0,1,4.083621,,0,,355780,,"PIEMONTE",2006
13.6,,,0,1,3.433245,,,,327626,,"PIEMONTE",2006
18,,,1,1,3.176511,,0,1,424425,,"PIEMONTE",2008
16,,,1,1,3.956327,,0,1,451239,,"PIEMONTE",2008
13.02,,,0,1,0,,,,374207,,"LOMBARDIA",2007
11.45,,,0,1,4.430805,,,,331584,,"LOMBARDIA",2006
16.86,,,0,1,6.901226,,,0,333166,,"LIGURIA",2006
16.89,,,0,1,6.875519,,,0,333167,,"LIGURIA",2006
15.52,,,0,1,6.891374,,,0,333272,,"PIEMONTE",2006
16.99,,,0,1,4.508978,,,,319664,,"LIGURIA",2005
12.648,,,0,1,,,,1,348417,,"VENETO",2006
14.41,,,0,1,,,,0,334321,,"LOMBARDIA",2006
13.445,,,0,1,6.740385,,,,356648,,"EMILIA ROMAGNA",2006
17.13,,,0,1,,,,,345834,,"LOMBARDIA",2006
27.61,,,0,1,6.246112,,,0,351076,,"LOMBARDIA",2006
14.001,,,0,1,6.858415,0,,0,330988,,"LIGURIA",2006
16.99,,,0,1,3.378168,,,0,352268,,"PIEMONTE",2006
19.67,,,0,1,,,,0,329069,,"LIGURIA",2006
20.21,,,0,1,,,,0,329071,,"LIGURIA",2006
19.26,,,0,1,,,,,338795,,"PIEMONTE",2006
15.523,,,0,1,3.398628,,,,318297,,"VENETO",2005
13.71,,,0,1,0,,,0,372216,,"EMILIA ROMAGNA",2007
18.302,,,0,1,,,,,329007,,"LIGURIA",2006
52.25,,,1,1,3.068053,,0,,349844,,"PIEMONTE",2006
52.25,,,1,1,3.068053,,,,349845,,"PIEMONTE",2006
1.25,,,0,1,3.467921,,,0,348069,,"EMILIA ROMAGNA",2006
17.73,,,0,1,,,,,354927,,"LOMBARDIA",2006
21.393,,,0,1,6.064313,,,0,316008,,"VENETO",2005
21.168,,,0,1,,,0,0,323462,,"EMILIA ROMAGNA",2006
21.393,,,0,1,,,0,0,326481,,"EMILIA ROMAGNA",2005
9.443,,,0,1,,,0,0,338413,,"VENETO",2006
20.111,,,0,1,,,,,329007,,"LIGURIA",2006
13.432,,,0,1,,,,,337044,,"EMILIA ROMAGNA",2006
8.04,,,0,1,,,,0,330836,,"EMILIA ROMAGNA",2006
9.01,,,0,1,,,,0,330837,,"EMILIA ROMAGNA",2006
14.936,,,0,1,5.140417,,,,371362,,"EMILIA ROMAGNA",2007
10.3,,,0,1,3.853313,,,0,329073,,"LIGURIA",2006
13.04,,,0,1,2.430714,,0,0,334351,,"LIGURIA",2006
12.83,,,0,1,3.853313,,0,0,334352,,"LIGURIA",2006
12.7,,,0,1,3.415265,,0,0,334354,,"LIGURIA",2006
8.04,,,0,1,2.511873,,0,0,335673,,"LIGURIA",2006
6.67,,,0,1,3.15551,,0,0,335674,,"LIGURIA",2006
10.45,,,0,1,2.273568,,0,0,335675,,"LIGURIA",2006
10.11,,,0,1,3.807595,,0,0,335938,,"LIGURIA",2006
6.85,,,0,1,,,,0,319872,,"VENETO",2005
13.43,,,0,1,4.492304,,,0,374799,,"LOMBARDIA",2007
16.557,,,0,1,4.023636,,,,335420,,"EMILIA ROMAGNA",2006
34.11,,,1,1,3.068053,,,0,349845,,"PIEMONTE",2006
32.512,,,1,1,3.068053,,0,0,349847,,"PIEMONTE",2006
18.61,,,1,1,3.044332,,0,0,349853,,"PIEMONTE",2006
